                                             A ZAMS Stellar Model
                                             --------------------

                                             M    = 2.0 solar
                                             L    = 2.0 solar
                                             R    = 0.963167293428313 solar
                                             Teff = 7000.0 K    
                                             X    = 0.3
                                             Y    = 0.49999999999999994
                                             Z    = 0.2



 zone      r               tau          1-M_r/Ms         L_r              T              P              rho             kap            eps        dlnPdlnT
0        6.699E8        0E0        0E0        7.678E26                0E0        0E0        0E0        0E0        0E0        r  99.9
1        6.692E8        2.897E0         1.653E-13        7.678E26        1.052E4        1.937E1        1.744E-7        4.959E1        8.199E-75        r 1E0
2        6.692E8        5.925E0        2.48E-13        7.678E26        2.845E4        5.414E1        2.146E-7        1.827E0        4.136E-56        c  1.028E0
3        6.686E8        6.268E0        4.947E-13        7.678E26        3.742E4        1.581E2        4.763E-7        1.332E0        1.21E-51        r  3.596E0
4        6.679E8        7.713E0        1.12E-12        7.678E26        3.743E4        4.224E2        1.272E-6        2.891E0        3.254E-51        r  9.99E1
5        6.672E8        9.244E0        1.744E-12        7.678E26        3.744E4        6.872E2        5.77E-7        1.546E0        1.488E-51        r  9.99E1
6        6.665E8        1.208E1        2.782E-12        7.678E26        3.746E4        1.13E3        1.907E-6        3.975E0        4.997E-51        r  9.99E1
7        6.659E8        3.58E1        6.196E-12        7.678E26        3.761E4        2.593E3        6.259E-6        1.01E1        1.876E-50        r  9.99E1
8        6.652E8        2.065E2        1.715E-11        7.678E26        3.872E4        7.306E3        1.963E-5        2.274E1        1.522E-49        r  3.286E1
9        6.645E8        9.512E2        4.869E-11        7.678E26        4.32E4        2.092E4        5.233E-5        3.397E1        1.352E-47        r  8.825E0
10        6.639E8        2.864E3        1.229E-10        7.678E26        5.118E4        5.31E4        1.132E-4        3.477E1        5.215E-45        r  5.136E0
11        6.632E8        6.475E3        2.704E-10        7.678E26        6.042E4        1.173E5        2.126E-4        3.221E1        1.178E-42        r  4.55E0
12        6.625E8        1.237E4        5.327E-10        7.678E26        6.999E4        2.319E5        3.638E-4        2.96E1        1.125E-40        r  4.474E0
13        6.619E8        2.132E4        9.643E-10        7.678E26        7.967E4        4.212E5        5.817E-4        2.738E1        5.283E-39        r  4.482E0
14        6.612E8        3.42E4        1.633E-9        7.678E26        8.941E4        7.159E5        8.826E-4        2.554E1        1.434E-37        r  4.502E0
15        6.605E8        5.206E4        2.624E-9        7.678E26        9.918E4        1.154E6        1.284E-3        2.398E1        2.543E-36        r  4.52E0
16        6.598E8        7.607E4        4.035E-9        7.678E26        1.09E5        1.781E6        1.805E-3        2.264E1        3.216E-35        r  4.534E0
17        6.592E8        1.075E5        5.986E-9        7.678E26        1.188E5        2.65E6        2.467E-3        2.148E1        3.094E-34        r  4.546E0
18        6.585E8        1.478E5        8.612E-9        7.678E26        1.287E5        3.826E6        3.292E-3        2.047E1        2.377E-33        r  4.555E0
19        6.578E8        1.986E5        1.207E-8        7.678E26        1.386E5        5.38E6        4.302E-3        1.957E1        1.513E-32        r  4.562E0
20        6.572E8        2.615E5        1.654E-8        7.678E26        1.485E5        7.397E6        5.523E-3        1.877E1        8.219E-32        r  4.568E0
