                                             A ZAMS Stellar Model
                                             --------------------

                                             M    = 5.0 solar
                                             L    = 5.0 solar
                                             R    = 1.5229012075065982 solar
                                             Teff = 7000.0 K    
                                             X    = 0.3
                                             Y    = 0.19999999999999996
                                             Z    = 0.5



 zone      r               tau          1-M_r/Ms         L_r              T              P              rho             kap            eps        dlnPdlnT
0        1,059E9        0E0        0E0        1,919E27                0E0        0E0        0E0        0E0        0E0        r  99.9
1        1,058E9        1,595E1         8,811E-13        1,919E27        1,789E4        1,126E2        5,88E-7        5,121E1        1,395E-63        r 1E0
2        1,058E9        3,489E1        2,134E-12        1,919E27        4,836E4        6,386E2        1,601E-6        3,536E0        1,346E-47        c  1,522E0
3        1,057E9        4,344E1        5,4E-12        1,919E27        6,362E4        2,015E3        3,838E-6        2,732E0        8,915E-44        r  3,806E0
4        1,056E9        5,296E1        1,438E-11        1,919E27        6,367E4        5,815E3        3,182E-6        2,349E0        7,537E-44        r  9,99E1
5        1,055E9        9,037E1        2,343E-11        1,919E27        6,371E4        9,659E3        1,047E-5        6,034E0        2,533E-43        r  9,99E1
6        1,054E9        3,965E2        5,299E-11        1,919E27        6,412E4        2,227E4        3,405E-5        1,512E1        9,791E-43        r  9,99E1
7        1,053E9        2,423E3        1,461E-10        1,919E27        6,678E4        6,216E4        1,037E-4        3,194E1        9,076E-42        r  2,318E1
8        1,052E9        1,016E4        4,024E-10        1,919E27        7,58E4        1,724E5        2,623E-4        4,306E1        6,612E-40        r  7,429E0
9        1,051E9        2,842E4        9,78E-10        1,919E27        8,991E4        4,209E5        5,452E-4        4,255E1        1,016E-37        r  4,922E0
10        1,05E9        6,148E4        2,088E-9        1,919E27        1,056E5        9,018E5        9,987E-4        3,927E1        8,67E-36        r  4,519E0
11        1,049E9        1,144E5        4,021E-9        1,919E27        1,218E5        1,743E6        1,679E-3        3,615E1        3,656E-34        r  4,473E0
12        1,048E9        1,936E5        7,154E-9        1,919E27        1,382E5        3,112E6        2,65E-3        3,352E1        8,74E-33        r  4,486E0
13        1,046E9        3,066E5        1,196E-8        1,919E27        1,546E5        5,218E6        3,979E-3        3,131E1        1,348E-31        r  4,505E0
14        1,045E9        4,621E5        1,9E-8        1,919E27        1,711E5        8,32E6        5,742E-3        2,945E1        1,475E-30        r  4,522E0
15        1,044E9        6,699E5        2,896E-8        1,919E27        1,876E5        1,273E7        8,019E-3        2,784E1        1,228E-29        r  4,536E0
16        1,043E9        9,408E5        4,265E-8        1,919E27        2,043E5        1,88E7        1,09E-2        2,645E1        8,182E-29        r  4,547E0
17        1,042E9        1,287E6        6,098E-8        1,919E27        2,209E5        2,698E7        1,447E-2        2,522E1        4,536E-28        r  4,555E0
18        1,041E9        1,721E6        8,502E-8        1,919E27        2,376E5        3,774E7        1,884E-2        2,413E1        2,155E-27        r  4,562E0
19        1,04E9        2,257E6        1,16E-7        1,919E27        2,544E5        5,164E7        2,41E-2        2,315E1        8,979E-27        r  4,568E0
20        1,039E9        2,911E6        1,552E-7        1,919E27        2,712E5        6,933E7        3,038E-2        2,227E1        3,344E-26        r  4,572E0
21        1,038E9        3,699E6        2,041E-7        1,919E27        2,881E5        9,152E7        3,778E-2        2,147E1        1,129E-25        r  4,576E0
22        1,037E9        4,639E6        2,645E-7        1,919E27        3,05E5        1,19E8        4,643E-2        2,074E1        3,503E-25        r  4,58E0
23        1,036E9        5,749E6        3,381E-7        1,919E27        3,219E5        1,526E8        5,646E-2        2,007E1        1,008E-24        r  4,582E0
24        1,035E9        7,05E6        4,271E-7        1,919E27        3,389E5        1,934E8        6,799E-2        1,946E1        2,713E-24        r  4,585E0
25        1,034E9        8,562E6        5,334E-7        1,919E27        3,559E5        2,424E8        8,118E-2        1,889E1        6,881E-24        r  4,587E0
26        1,033E9        1,031E7        6,597E-7        1,919E27        3,73E5        3,008E8        9,617E-2        1,836E1        1,655E-23        r  4,588E0
27        1,032E9        1,231E7        8,084E-7        1,919E27        3,901E5        3,699E8        1,131E-1        1,787E1        3,794E-23        r  4,59E0
28        1,031E9        1,46E7        9,823E-7        1,919E27        4,073E5        4,509E8        1,321E-1        1,741E1        8,329E-23        r  4,591E0
29        1,03E9        1,72E7        1,184E-6        1,919E27        4,245E5        5,456E8        1,535E-1        1,697E1        1,757E-22        r  4,593E0
30        1,028E9        2,014E7        1,418E-6        1,919E27        4,417E5        6,554E8        1,772E-1        1,657E1        3,577E-22        r  4,594E0
31        1,027E9        2,344E7        1,686E-6        1,919E27        4,59E5        7,822E8        2,036E-1        1,619E1        7,044E-22        r  4,595E0
32        1,026E9        2,713E7        1,994E-6        1,919E27        4,763E5        9,277E8        2,328E-1        1,583E1        1,346E-21        r  4,596E0
33        1,025E9        3,126E7        2,343E-6        1,919E27        4,937E5        1,094E9        2,649E-1        1,549E1        2,5E-21        r  4,596E0
34        1,024E9        3,584E7        2,739E-6        1,919E27        5,111E5        1,283E9        3,003E-1        1,517E1        4,526E-21        r  4,597E0
35        1,023E9        4,092E7        3,186E-6        1,919E27        5,285E5        1,498E9        3,39E-1        1,486E1        7,999E-21        r  4,598E0
36        1,022E9        4,653E7        3,689E-6        1,919E27        5,46E5        1,74E9        3,814E-1        1,457E1        1,383E-20        r  4,598E0
37        1,021E9        5,271E7        4,252E-6        1,919E27        5,635E5        2,013E9        4,275E-1        1,429E1        2,342E-20        r  4,599E0
38        1,02E9        5,95E7        4,882E-6        1,919E27        5,811E5        2,319E9        4,777E-1        1,403E1        3,889E-20        r  4,599E0
39        1,019E9        6,693E7        5,582E-6        1,919E27        5,987E5        2,661E9        5,321E-1        1,378E1        6,343E-20        r  4,6E0
40        1,018E9        7,505E7        6,36E-6        1,919E27        6,164E5        3,042E9        5,91E-1        1,354E1        1,017E-19        r  4,6E0
41        1,017E9        8,389E7        7,22E-6        1,919E27        6,341E5        3,465E9        6,546E-1        1,331E1        1,606E-19        r  4,601E0
42        1,016E9        9,352E7        8,17E-6        1,919E27        6,518E5        3,934E9        7,232E-1        1,308E1        2,497E-19        r  4,601E0
43        1,015E9        1,04E8        9,216E-6        1,919E27        6,696E5        4,453E9        7,97E-1        1,287E1        3,829E-19        r  4,601E0
44        1,014E9        1,153E8        1,037E-5        1,919E27        6,874E5        5,026E9        8,764E-1        1,267E1        5,795E-19        r  4,602E0
45        1,013E9        1,275E8        1,162E-5        1,919E27        7,052E5        5,656E9        9,614E-1        1,247E1        8,66E-19        r  4,602E0
46        1,012E9        1,407E8        1,3E-5        1,919E27        7,231E5        6,348E9        1,053E0        1,228E1        1,279E-18        r  4,602E0
47        1,01E9        1,549E8        1,45E-5        1,919E27        7,41E5        7,106E9        1,15E0        1,21E1        1,867E-18        r  4,602E0
48        1,009E9        1,702E8        1,614E-5        1,919E27        7,59E5        7,936E9        1,254E0        1,193E1        2,698E-18        r  4,603E0
49        1,008E9        1,866E8        1,792E-5        1,919E27        7,77E5        8,841E9        1,365E0        1,176E1        3,859E-18        r  4,603E0
50        1,007E9        2,042E8        1,985E-5        1,919E27        7,951E5        9,828E9        1,483E0        1,16E1        5,467E-18        r  4,603E0
51        1,006E9        2,231E8        2,194E-5        1,919E27        8,132E5        1,09E10        1,609E0        1,144E1        7,675E-18        r  4,603E0
52        1,005E9        2,433E8        2,421E-5        1,919E27        8,313E5        1,207E10        1,742E0        1,129E1        1,068E-17        r  4,603E0
53        1,004E9        2,648E8        2,665E-5        1,919E27        8,495E5        1,333E10        1,884E0        1,114E1        1,474E-17        r  4,604E0
54        1,003E9        2,877E8        2,929E-5        1,919E27        8,677E5        1,47E10        2,034E0        1,1E1        2,018E-17        r  4,604E0
55        1,002E9        3,122E8        3,212E-5        1,919E27        8,859E5        1,618E10        2,193E0        1,086E1        2,743E-17        r  4,604E0
56        1,001E9        3,382E8        3,517E-5        1,919E27        9,042E5        1,778E10        2,361E0        1,072E1        3,7E-17        r  4,604E0
57        9,999E8        3,659E8        3,844E-5        1,919E27        9,226E5        1,95E10        2,538E0        1,059E1        4,957E-17        r  4,604E0
58        9,988E8        3,952E8        4,195E-5        1,919E27        9,41E5        2,136E10        2,726E0        1,047E1        6,598E-17        r  4,604E0
59        9,978E8        4,263E8        4,571E-5        1,919E27        9,594E5        2,335E10        2,923E0        1,035E1        8,725E-17        r  4,604E0
60        9,967E8        4,593E8        4,973E-5        1,919E27        9,778E5        2,549E10        3,132E0        1,023E1        1,147E-16        r  4,604E0
61        9,956E8        4,942E8        5,403E-5        1,919E27        9,963E5        2,779E10        3,351E0        1,011E1        1,499E-16        r  4,605E0
62        9,946E8        5,311E8        5,861E-5        1,919E27        1,015E6        3,026E10        3,582E0        9,998E0        1,947E-16        r  4,605E0
63        9,935E8        5,701E8        6,35E-5        1,919E27        1,033E6        3,29E10        3,825E0        9,889E0        2,517E-16        r  4,605E0
64        9,925E8        6,113E8        6,871E-5        1,919E27        1,052E6        3,572E10        4,08E0        9,782E0        3,236E-16        r  4,605E0
65        9,914E8        6,547E8        7,424E-5        1,919E27        1,071E6        3,873E10        4,347E0        9,678E0        4,139E-16        r  4,605E0
66        9,903E8        7,005E8        8,013E-5        1,919E27        1,089E6        4,195E10        4,628E0        9,577E0        5,27E-16        r  4,605E0
67        9,893E8        7,487E8        8,638E-5        1,919E27        1,108E6        4,538E10        4,922E0        9,478E0        6,678E-16        r  4,605E0
68        9,882E8        7,993E8        9,3E-5        1,919E27        1,127E6        4,904E10        5,23E0        9,382E0        8,424E-16        r  4,605E0
69        9,872E8        8,526E8        1E-4        1,919E27        1,146E6        5,293E10        5,553E0        9,288E0        1,058E-15        r  4,605E0
70        9,861E8        9,086E8        1,075E-4        1,919E27        1,165E6        5,707E10        5,891E0        9,196E0        1,323E-15        r  4,605E0
71        9,85E8        9,674E8        1,153E-4        1,919E27        1,184E6        6,146E10        6,244E0        9,106E0        1,649E-15        r  4,605E0
72        9,84E8        1,029E9        1,237E-4        1,919E27        1,203E6        6,613E10        6,613E0        9,019E0        2,046E-15        r  4,605E0
73        9,829E8        1,094E9        1,325E-4        1,919E27        1,222E6        7,109E10        6,998E0        8,933E0        2,529E-15        r  4,605E0
74        9,819E8        1,162E9        1,417E-4        1,919E27        1,241E6        7,634E10        7,4E0        8,85E0        3,115E-15        r  4,605E0
75        9,808E8        1,233E9        1,515E-4        1,919E27        1,26E6        8,19E10        7,82E0        8,768E0        3,823E-15        r  4,605E0
76        9,798E8        1,307E9        1,618E-4        1,919E27        1,279E6        8,779E10        8,257E0        8,688E0        4,676E-15        r  4,606E0
77        9,787E8        1,385E9        1,727E-4        1,919E27        1,298E6        9,402E10        8,713E0        8,61E0        5,701E-15        r  4,606E0
78        9,776E8        1,466E9        1,841E-4        1,919E27        1,317E6        1,006E11        9,188E0        8,533E0        6,927E-15        r  4,606E0
79        9,766E8        1,551E9        1,962E-4        1,919E27        1,336E6        1,076E11        9,682E0        8,458E0        8,391E-15        r  4,606E0
80        9,755E8        1,639E9        2,088E-4        1,919E27        1,356E6        1,149E11        1,02E1        8,385E0        1,013E-14        r  4,606E0
81        9,745E8        1,732E9        2,221E-4        1,919E27        1,375E6        1,227E11        1,073E1        8,313E0        1,22E-14        r  4,606E0
82        9,734E8        1,828E9        2,361E-4        1,919E27        1,395E6        1,308E11        1,129E1        8,242E0        1,465E-14        r  4,606E0
